"Category Merge","Kategorien vereinen"
"Is Active","Aktiv"
"Merge to and delete current","Mit Zielkategorie vereinen und diese löschen"
"Are your sure you want to merge into that category and delete %s?","Mit der Kategorie vereinen und die Kategorie %s löschen?"
"Merge to and keep current","Mit Zielkategorie vereinen und diese behalten"
"Are your sure you want to merge into that category and keep %s?","Mit der Kategorie vereinen und die Kategorie %s behalten?"
"Merge into current and delete source","In diese Kategorie vereinen und Quelle löschen"
"Are your sure you want to merge into %s and delete that category?","Mit der Kategorie %s vereinen und die Quelle löschen?"
"Merge into current and keep source","In diese Kategorie vereinen und Quelle behalten"
"Are your sure you want to merge into %s and keep that category?","Mit der Kategorie %s vereinen und die Quelle behalten?"
"Category merge failed","Vereinen der Kategorien fehlgeschlagen"
"Your categories have been merged successfully","Kategorien erfolgreich zusammengeführt"
"Action From","Aktion von"
"Action To","Aktion nach"